player_name,Position,Age
Tino Kadewere,CF,28
Marcus Coco,RW,28
Nicolas Cozza,LB,25
Nicolas Cozza,LB,25
Jean-Philippe Gbamin,DM,29
Mostafa Mohamed,CF,26
Florent Mollet,AM,32
Guela Doué,RB,22
Dilane Bakwa,RW,22
Saidou Sow,CB,22
Emanuel Emegha,CF,21
Ismaël Doukouré,DM,21
Habib Diarra,AM,20
Andrey Santos,CM,20
Diego Moreira,LW,20
Abakar Sylla,CB,21
Caleb Wiley,LB,19
Mamadou Sarr,CB,19
Junior Mwanga,DM,21
Félix Lemaréchal,AM,21
Marvin Senaya,RB,23
Nordine Kandil,LW,23
Kaoru Mitoma,LW,27
Lewis Dunk,CB,32
Jack Hinshelwood,RB,19
Danny Welbeck,CF,33
Joël Veltman,RB,32
Jan Paul van Hecke,CB,24
Carlos Baleba,DM,20
Yankuba Minteh,RW,20
Georginio Rutter,CF,22
João Pedro,RB,30
James Milner,CM,38
Pervis Estupiñán,LB,26
Mats Wieffer,DM,24
Ferdi Kadioglu,LB,25
Adam Webster,CB,29
Yasin Ayari,CM,21
Simon Adingra,RW,22
Igor,CB,27
Julio Enciso,AM,20
Evan Ferguson,CF,20
Jeremy Sarmiento,LW,22
Brajan Gruda,RW,20
Valentín Barco,LB,20
Valentín Barco,LB,20
Tariq Lamptey,RB,24
Jakub Moder,CM,25
Murillo,CB,22
Ola Aina,RB,28
Chris Wood,CF,32
Nikola Milenković,CB,27
Morgan Gibbs-White,AM,24
Elliot Anderson,CM,21
Callum Hudson-Odoi,LW,23
Anthony Elanga,RW,22
Álex Moreno,LB,31
James Ward-Prowse,CM,29
James Ward-Prowse,CM,29
Ryan Yates,CM,26
Neco Williams,RB,23
Ibrahim Sangaré,DM,26
Nicolás Domínguez,CM,26
Willy Boly,CB,33
Taiwo Awoniyi,CF,27
Jota Silva,LW,25
Ramón Sosa,LW,25
Morato,CB,23
Harry Toffolo,LB,29
Andrew Omobamidele,CB,22
Diego Llorente,CB,31
Marc Roca,DM,27
Abde Ezzalzouli,LW,22
Natan,CB,39
Pablo Fornals,AM,28
Romain Perraud,LB,27
Giovani Lo Celso,CM,28
Héctor Bellerín,RB,29
Aitor Ruibal,RW,28
Ricardo Rodríguez,LB,32
Youssouf Sabaly,RB,31
William Carvalho,DM,32
Sergi Altimira,CM,23
Vitor Roque,CB,48
Johnny Cardoso,DM,23
Ezequiel Ávila,CF,30
Nabil Fekir,AM,31
Assane Diao,DM,47
Juanmi,LW,31
Iker Losada,SS,23
Florian Lejeune,CB,33
Abdul Mumin,CB,26
Óscar Valentín,CM,30
Andrei Ratiu,RB,26
Jorge de Frutos,RW,27
Adri Embarba,LW,32
Sergio Camello,CF,23
Unai López,CM,29
Isaac Palazón Camacho,RW,29
Iván Balliu,RB,32
Álvaro García,LW,32
Alfonso Espino,LB,32
Pep Chavarría,LB,26
Pathé Ciss,CM,30
Randy Nteka,AM,26
Óscar Trejo,AM,36
Gerard Gumbau,DM,29
James Rodríguez,AM,33
Pedro Díaz,CM,26
Sergi Guardiola,CF,33
Aridane Hernández,CB,35
Raúl de Tomás,CF,30
Óscar Mingueza,RB,25
Hugo Álvarez,LW,21
Iago Aspas,CF,37
Carl Starfelt,CB,29
Fran Beltrán,CM,25
Borja Iglesias,CF,31
Javi Rodríguez,CB,21
Damián Rodríguez,DM,21
Jailson Siqueira,DM,29
Williot Swedberg,LW,20
Carlos Dominguez,CB,23
Ilaix Moriba,CM,21
Javier Manquillo,RB,30
Marcos Alonso,LB,33
Anastasios Douvikas,CF,25
Hugo Sotelo,CM,20
Jonathan Bamba,LW,28
Sergio Carreira,RB,24
Marten de Roon,DM,33
Éderson,CM,25
Berat Djimsiti,CB,31
Mateo Retegui,CF,25
Charles De Ketelaere,AM,23
Mario Pašalić,CM,29
Matteo Ruggeri,LM,22
Davide Zappacosta,RM,32
Marco Brescianini,CM,24
Sead Kolašinac,CB,31
Isak Hien,CB,25
Ademola Lookman,SS,27
Lazar Samardzic,CM,22
Nicolò Zaniolo,AM,25
Rafael Tolói,CB,34
Ben Godfrey,CB,26
Ibrahim Sulemana,DM,21
Nathan Collins,CB,23
Ethan Pinnock,CB,31
Bryan Mbeumo,RW,25
Vitaly Janelt,DM,26
Kristoffer Ajer,CB,26
Mikkel Damsgaard,LW,24
Keane Lewis-Potter,LW,23
Christian Nørgaard,DM,30
Sepp van den Berg,CB,22
Kevin Schade,LW,22
Yoane Wissa,CF,28
Mathias Jensen,CM,28
Mads Roerslev,RB,25
Fabio Carvalho,AM,22
Yehor Yarmoliuk,AM,20
Frank Onyeka,CM,26
Frank Onyeka,CM,26
Ben Mee,CB,35
Evann Guessand,CF,23
Dante,CB,41
Jonathan Clauss,RB,32
Tanguy Ndombele,CM,27
Mohamed Ali Cho,RW,20
Hicham Boudaoui,CM,25
Pablo Rosario,DM,27
Moïse Bombito,CB,24
Youssouf Ndayishimiye,DM,26
Melvin Bard,LB,23
Antoine Mendy,RB,20
Jeremie Boga,LW,27
Badredine Bouanani,RW,19
Ali Abdi,LB,30
Youssoufa Moukoko,CF,19
Gaëtan Laborde,CF,30
Jordan Lotomba,RB,26
Tom Louchet,RM,21
Jonathan Burkardt,CF,24
Phillipp Mwene,LB,30
Dominik Kohr,DM,30
Kaishu Sano,DM,23
Anthony Caci,LB,27
Lee Jae-sung,MO,32
Nadiem Amiri,CM,28
Moritz Jenz,CB,25
Andreas Hanche-Olsen,CB,27
Hong Hyunseok,MO,25
Maxim Leitsch,CB,26
Armindo Sieb,SS,21
Silvan Widmer,RB,31
Karim Onisiwo,CF,32
Aymen Barkok,AM,26
Paul Nebel,AM,22
Danny da Costa,RB,31
Marco Richter,AM,26
Mitchell Weiser,RB,30
